Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2023,AQS,80050006,1,0.04,ppm,37,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/2/2023,AQS,80050006,1,0.037,ppm,34,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/3/2023,AQS,80050006,1,0.042,ppm,39,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/4/2023,AQS,80050006,1,0.044,ppm,41,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/5/2023,AQS,80050006,1,0.05,ppm,46,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/6/2023,AQS,80050006,1,0.042,ppm,39,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/7/2023,AQS,80050006,1,0.05,ppm,46,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/8/2023,AQS,80050006,1,0.051,ppm,47,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/9/2023,AQS,80050006,1,0.047,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/10/2023,AQS,80050006,1,0.04,ppm,37,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/11/2023,AQS,80050006,1,0.039,ppm,36,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/12/2023,AQS,80050006,1,0.046,ppm,43,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/13/2023,AQS,80050006,1,0.045,ppm,42,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/14/2023,AQS,80050006,1,0.04,ppm,37,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/15/2023,AQS,80050006,1,0.032,ppm,30,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/16/2023,AQS,80050006,1,0.042,ppm,39,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/17/2023,AQS,80050006,1,0.032,ppm,30,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/18/2023,AQS,80050006,1,0.039,ppm,36,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/19/2023,AQS,80050006,1,0.049,ppm,45,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/20/2023,AQS,80050006,1,0.034,ppm,31,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/21/2023,AQS,80050006,1,0.042,ppm,39,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/22/2023,AQS,80050006,1,0.051,ppm,47,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/23/2023,AQS,80050006,1,0.044,ppm,41,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/24/2023,AQS,80050006,1,0.047,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/25/2023,AQS,80050006,1,0.039,ppm,36,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/26/2023,AQS,80050006,1,0.044,ppm,41,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/27/2023,AQS,80050006,1,0.045,ppm,42,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/28/2023,AQS,80050006,1,0.039,ppm,36,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/29/2023,AQS,80050006,1,0.039,ppm,36,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/30/2023,AQS,80050006,1,0.042,ppm,39,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
1/31/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/1/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/2/2023,AQS,80050006,1,0.052,ppm,48,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/3/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/4/2023,AQS,80050006,1,0.051,ppm,47,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/5/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/6/2023,AQS,80050006,1,0.048,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/7/2023,AQS,80050006,1,0.046,ppm,43,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/8/2023,AQS,80050006,1,0.05,ppm,46,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/9/2023,AQS,80050006,1,0.046,ppm,43,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/10/2023,AQS,80050006,1,0.051,ppm,47,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/11/2023,AQS,80050006,1,0.041,ppm,38,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/12/2023,AQS,80050006,1,0.05,ppm,46,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/13/2023,AQS,80050006,1,0.045,ppm,42,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/14/2023,AQS,80050006,1,0.05,ppm,46,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/15/2023,AQS,80050006,1,0.042,ppm,39,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/16/2023,AQS,80050006,1,0.05,ppm,46,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/17/2023,AQS,80050006,1,0.05,ppm,46,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/18/2023,AQS,80050006,1,0.052,ppm,48,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/19/2023,AQS,80050006,1,0.055,ppm,51,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/20/2023,AQS,80050006,1,0.041,ppm,38,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/21/2023,AQS,80050006,1,0.043,ppm,40,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/22/2023,AQS,80050006,1,0.039,ppm,36,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/23/2023,AQS,80050006,1,0.042,ppm,39,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/24/2023,AQS,80050006,1,0.048,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/25/2023,AQS,80050006,1,0.047,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/26/2023,AQS,80050006,1,0.047,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/27/2023,AQS,80050006,1,0.056,ppm,54,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
2/28/2023,AQS,80050006,1,0.048,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
3/1/2023,AQS,80050006,1,0.043,ppm,40,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
3/2/2023,AQS,80050006,1,0.042,ppm,39,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
